description,original_price,discount,reviews,ratings,sale,soldout,product_price
Phase Brands Baylis & Harding Black Pepper & Ginseng Hand Care Set,,,No reviews,0.00,,Available,"KSh3,200.00"
Phase Brands Baylis & Harding Royale Garden,,,No reviews,0.00,,Available,"KSh5,500.00"
Phase Brands Baylis & Harding Royale Garden,,,No reviews,0.00,,Available,"KSh5,100.00"
Phase Brands Baylis & Harding Boudoire Rose,,,No reviews,0.00,,Available,"KSh5,000.00"
Phase Brands Baylis & Harding Signature Collection,,,No reviews,0.00,,Available,"KSh5,200.00"
O'BAO MH2O Micellar Water,,,No reviews,0.00,,Available,"KSh2,990.00"
O'BAO Oat Milk & Qasil Face Wash,,,No reviews,0.00,,Available,"KSh2,990.00"
O'BAO Botanical Pre-Cleanse Oil Gel,,,No reviews,0.00,,Available,"KSh3,490.00"
Kipusa Nour Organics Rose Water,,,No reviews,0.00,,Available,"KSh1,000.00"
Kipusa Wild Earth Botanics Luxurious Body Oil,,,No reviews,0.00,,Available,"KSh3,600.00"
Kipusa Wild Earth Botanics Lavender Bath Salt,,,No reviews,0.00,,Available,"KSh2,000.00"
Kipusa Wild Earth Botanics Citrus And Lemongrass Bath Salt,,,No reviews,0.00,,Available,"KSh2,000.00"
Kipusa Wild Earth Rose Vanilla And Patchouli Bath Salt,,,No reviews,0.00,,Available,"KSh2,000.00"
Kipusa Mahogany Africa Black Soap and Tea Tree Shampoo,,,No reviews,0.00,,Available,"KSh2,000.00"
Kipusa Claire Naturals Carrot With Tumeric And Honey Soap,,,No reviews,0.00,,Available,"KSh2,000.00"
Kipusa Claire Naturals Moringa Soap,,,No reviews,0.00,,Available,"KSh2,000.00"
Kipusa Claire Naturals Neem Unscented Soap,,,No reviews,0.00,,Available,"KSh2,000.00"
Kipusa Claire Naturals Charcoal Soap,,,No reviews,0.00,,Available,"KSh2,000.00"
Kipusa Coffee And Milk Soap,,,No reviews,0.00,,Available,"KSh1,500.00"
Kipusa Coconut Soap,,,No reviews,0.00,,Available,"KSh1,500.00"
Kipusa Natural Mums Activated Charcoal Bar Soap,,,No reviews,0.00,,Available,"KSh2,000.00"
Kipusa Natural Mums Anti-Inflammatory Turmeric Soap,,,No reviews,0.00,,Available,"KSh2,000.00"
Kipusa Natural Mums Honey Oatmeal Soap,,,No reviews,0.00,,Available,"KSh2,000.00"
Kipusa Natural Mums Goat & Milk Soap,,,No reviews,0.00,,Available,"KSh2,000.00"
Kipusa Sorano Vitamin C & Hyaluronic Acid Serum,,,No reviews,0.00,,Available,"KSh5,000.00"
Kipusa Sorano Gentle Face Toner,,,No reviews,0.00,,Available,"KSh3,000.00"
Kipusa Sorano Safi Facial Cleanser,,,No reviews,0.00,,Available,"KSh3,000.00"
Qasil Beauty Aloe Blacksoap Supple Cleansing Portion,,,No reviews,0.00,,Available,"KSh2,800.00"
Qasil Beauty Frankincense Foaming Cleanser,,,No reviews,0.00,,Available,"KSh2,800.00"
Qasil Beauty Melt Away Cleansing Balm,,,No reviews,0.00,,Available,"KSh2,300.00"
BU-KE' Bye Bye Acne Kit,,,No reviews,0.00,,Available,"KSh1,100.00"
