description,original_price,discount,reviews,ratings,sale,soldout,product_price
Mona Vintage Mini Claw Clips Set - Black/Brown,KSh400.00,10,No reviews,0.00,Sale,Available,KSh400.00
Mona Plate Matte Claw Clip - Yellow,KSh500.00,10,No reviews,0.00,Sale,Available,KSh500.00
Mona Plate Matte Claw Clip - Green,KSh500.00,10,No reviews,0.00,Sale,Available,KSh500.00
Mona Mini Bow Knot Matte Claw Clip - Green,KSh400.00,10,No reviews,0.00,Sale,Available,KSh400.00
Mona Mini Bow Knot Matte Claw Clip - Blue,KSh400.00,10,No reviews,0.00,Sale,Available,KSh400.00
Mona 70's Baby Claw Clip -  Orange,KSh500.00,10,No reviews,0.00,Sale,Available,KSh500.00
Mona 70's Baby Claw Clip -  Purple,KSh500.00,10,No reviews,0.00,Sale,Available,KSh500.00
Mona 70's Baby Claw Clip -  Pink,KSh500.00,10,No reviews,0.00,Sale,Available,KSh500.00
Mona Fur Baby Claw Clip - Clay,KSh500.00,10,No reviews,0.00,Sale,Available,KSh500.00
Mona Fur Baby Claw Clip - Steel Blue,KSh500.00,10,No reviews,0.00,Sale,Available,KSh500.00
Mona Vibey Claw Clip - Grey,KSh500.00,10,No reviews,0.00,Sale,Available,KSh500.00
Mona Flower Power Claw Clip - Pink,KSh500.00,10,No reviews,0.00,Sale,Available,KSh500.00
Mona Vintage Hair Clips Set - Gold,KSh400.00,10,No reviews,0.00,Sale,Available,KSh400.00
Mona Pearly Hair Clips Set - White,KSh400.00,10,No reviews,0.00,Sale,Available,KSh400.00
Mona Eagle Wings Hair Clip Set - Gold,KSh400.00,10,No reviews,0.00,Sale,Available,KSh400.00
Mona Bunny Hair Clips Set - Gold,KSh400.00,10,No reviews,0.00,Sale,Available,KSh400.00
Mona Eternal Hair Clips Set - Gold,KSh400.00,10,No reviews,0.00,Sale,Available,KSh400.00
Mona Cherry Pick Hair Clips - Gold,KSh400.00,10,No reviews,0.00,Sale,Available,KSh400.00
Mona Hollywood Hair Clips - Gold,KSh400.00,10,No reviews,0.00,Sale,Available,KSh400.00
Mona Shooting Star Hair Clips - Gold,KSh400.00,10,No reviews,0.00,Sale,Available,KSh400.00
Mona Single Line Pearl Headpiece - Gold/ White,KSh500.00,10,No reviews,0.00,Sale,Available,KSh500.00
Mona Winged up Pearl Headpiece - White,KSh500.00,10,No reviews,0.00,Sale,Available,KSh500.00
Mona Horned up Pearl Headpiece - White,KSh500.00,10,No reviews,0.00,Sale,Available,KSh500.00
Mona Sweet Pearl Headpiece - Gold,KSh500.00,10,No reviews,0.00,Sale,Available,KSh500.00
Mona Pearl Headpice - White,KSh500.00,10,No reviews,0.00,,Sold out,KSh500.00
Mona Tied Clear Jewel Headpice - Gold,KSh500.00,10,No reviews,0.00,Sale,Available,KSh500.00
Mona Tied Jewel Headpice - Dark Blue,KSh500.00,10,No reviews,0.00,Sale,Available,KSh500.00
Mona Tied Jewel Headpice - Light Blue,KSh500.00,10,No reviews,0.00,Sale,Available,KSh500.00
Mona Swirled Pearl Headpiece - Gold,KSh500.00,10,No reviews,0.00,Sale,Available,KSh500.00
Mona Swirled Pearl Headpiece - Silver,KSh500.00,10,No reviews,0.00,Sale,Available,KSh500.00
Tam Tam Extra Virgin Coconut oil for Hair & Body,KSh600.00,17,No reviews,0.00,Sale,Available,KSh600.00
Tam Tam Extra Virgin Coconut oil for Hair & Body,"KSh2,000.00",25,No reviews,0.00,Sale,Available,"KSh2,000.00"
Kipusa Chebe Powder,,,No reviews,0.00,,Available,"KSh6,000.00"
Kipusa Mahogany Keratin and Coconut Deep Conditioner,,,No reviews,0.00,,Available,"KSh4,000.00"
Kipusa Mahogany Keratin Cocunut Leave In Conditioner,,,No reviews,0.00,,Available,"KSh2,000.00"
Kipusa Mahogany Keratin & Coconut Shampoo,,,No reviews,0.00,,Available,"KSh2,000.00"
Kipusa Mahogany Africa Black Soap and Tea Tree Shampoo,,,No reviews,0.00,,Available,"KSh2,000.00"
Kipusa Mahogany Africa Rice Water Conditioner,,,No reviews,0.00,,Available,"KSh4,000.00"
Kipusa Mahogany Africa Rice Water Shampoo,,,No reviews,0.00,,Available,"KSh2,000.00"
Kipusa Mahogany Africa Moringa Conditioner,,,No reviews,0.00,,Available,"KSh2,000.00"
Kipusa Mahogany Africa Moringa Shampoo,,,No reviews,0.00,,Available,"KSh2,000.00"
Kipusa Design Perfection Honey Moisture Shampoo,,,No reviews,0.00,,Available,"KSh1,930.00"
Sheth Naturals Crude Avocado Oil,,,No reviews,0.00,,Available,KSh750.00
Sheth Naturals Aloe Vera Gel,,,No reviews,0.00,,Available,KSh800.00
Mandevu Beard Care Set,,,No reviews,0.00,,Available,"KSh6,000.00"
Nywele Chronicles Detangling Hair Brush - Pink,KSh750.00,30,No reviews,0.00,Sale,Available,KSh750.00
Nywele Chronicles Detangling Hair Brush - Green,KSh750.00,30,No reviews,0.00,Sale,Available,KSh750.00
Mosara Deep Treatment,,,No reviews,0.00,,Sold out,KSh450.00
Mandevu Beard Oil,"KSh1,600.00",20,1 review,5.00,Sale,Available,"KSh1,600.00"
