description,original_price,discount,reviews,ratings,sale,soldout,product_price
Kiondo Everyday Multicolored Beaded Belt - Brown,,,No reviews,0.00,,Available,"KSh4,500.00"
Kiondo Everyday Multicolored Beaded Belt - Brown,,,No reviews,0.00,,Available,"KSh4,500.00"
Kiondo Everyday Beaded Belt - Brown,,,No reviews,0.00,,Available,"KSh4,500.00"
Mandevu Beard Care Set,,,No reviews,0.00,,Available,"KSh6,000.00"
King's Collection Men's Boxers (2 Pack) - Black / Maroon,"KSh1,250.00",15,No reviews,0.00,,Sold out,"KSh1,250.00"
King's Collection Men's Leather Belt - Black,"KSh1,950.00",15,1 review,5.00,Sale,Available,"KSh1,950.00"
Eden Leather Canvas & Leather Nairobi Travel Bag - Red,,,No reviews,0.00,,Available,"KSh12,300.00"
For Him Transparent Frames Round Sunglasses - Grey,,,1 review,5.00,,Available,"KSh1,300.00"
For Him Super Soft Plain Cotton Vest - White,,,No reviews,0.00,,Available,KSh430.00
For Him Super Soft Plain Cotton Vest - Grey,,,No reviews,0.00,,Available,KSh430.00
For Him 3 Pack Men's Performance Boxer Shorts - Black / Grey / Navy Blue,,,No reviews,0.00,,Available,"KSh1,550.00"
For Him (3 Pack) Super Soft Plain Cotton Vest - Black / White / Grey,,,1 review,5.00,,Available,"KSh1,550.00"
Mandevu Beard Oil,"KSh1,600.00",20,1 review,5.00,Sale,Available,"KSh1,600.00"
Mandevu Beard Comb,"KSh1,000.00",20,1 review,5.00,Sale,Available,"KSh1,000.00"
Mandevu Round Brush,KSh700.00,20,1 review,5.00,Sale,Available,KSh700.00
Mandevu Beard & Hair Wash,KSh900.00,20,No reviews,0.00,Sale,Available,KSh900.00
Mandevu Wash Bag,"KSh1,000.00",20,1 review,5.00,Sale,Available,"KSh1,000.00"
Mandevu Leather Bag - Brown,"KSh3,000.00",20,1 review,5.00,Sale,Available,"KSh3,000.00"
Beaded Apple Watch Strap TZ - Black,"KSh3,500.00",60,No reviews,0.00,Sale,Available,"KSh3,500.00"
Nisisi Kipande Sling Bag - Black/ Mustard Print,,,No reviews,0.00,,Available,"KSh2,950.00"
For Him Men's Square Sunglasses - Gold / Blue,,,No reviews,0.00,,Available,"KSh1,650.00"
For Him Pure Leather Bifold Wallet - Black,,,No reviews,0.00,,Available,"KSh1,900.00"
