description,original_price,discount,reviews,ratings,sale,soldout,product_price
Foot Traffic DK Black Mens Official Shoes - Black,"KSh14,500.00",28,No reviews,0.00,Sale,Available,"KSh14,500.00"
Crafts With Meaning House Sandals - Blue / White Print,,,No reviews,0.00,,Available,"KSh1,000.00"
Ziatu Men's Out of Boundary Sneakers - Black/Peach,"KSh4,700.00",10,No reviews,0.00,Sale,Available,"KSh4,700.00"
Ziatu Men's Out of Boundary Sneakers - Blue/Grey,"KSh4,700.00",10,No reviews,0.00,Sale,Available,"KSh4,700.00"
Ziatu Men's Next Step Sneakers - Blue,"KSh4,700.00",10,No reviews,0.00,Sale,Available,"KSh4,700.00"
Ziatu Men's 3-Tone Sneakers - Black,"KSh4,700.00",10,1 review,3.00,Sale,Available,"KSh4,700.00"
Ziatu Men's Classic Style Sneakers - White,"KSh4,700.00",10,1 review,5.00,Sale,Available,"KSh4,700.00"
Ziatu Men's Colour Pop Sneakers - White/Black,"KSh4,700.00",10,No reviews,0.00,Sale,Available,"KSh4,700.00"
Foot Traffic Hand Made Laced Oxford Mens Official Shoes - Brown,"KSh15,000.00",13,No reviews,0.00,Sale,Available,"KSh15,000.00"
Foot Traffic Piton Mens Official Shoes - Black,"KSh13,000.00",27,No reviews,0.00,Sale,Available,"KSh13,000.00"
Foot Traffic DK Brown Mens Official Shoes - Brown,"KSh14,500.00",28,No reviews,0.00,Sale,Available,"KSh14,500.00"
Foot Traffic Hand Made Laced Oxford Mens Official Shoes - Black,"KSh16,000.00",19,No reviews,0.00,Sale,Available,"KSh16,000.00"
Foot Traffic Oxford Mens Official Shoes - Black,"KSh13,000.00",27,No reviews,0.00,Sale,Available,"KSh13,000.00"
Foot Traffic Snake Official Men's Shoes - Black,"KSh13,000.00",27,No reviews,0.00,Sale,Available,"KSh13,000.00"
Foot Traffic Laced Brown Bricked Official Mens Shoes - Brown,"KSh13,000.00",27,No reviews,0.00,Sale,Available,"KSh13,000.00"
Foot Traffic Dark Brown Official Mens Shoes - Brown,"KSh13,000.00",27,No reviews,0.00,Sale,Available,"KSh13,000.00"
Foot Traffic Buffalo Mens Official Shoes - Black,"KSh13,000.00",27,No reviews,0.00,Sale,Available,"KSh13,000.00"
Foot Traffic Angelo Ruffo Slip On - Black,,,No reviews,0.00,,Available,"KSh9,500.00"
Foot Traffic Studs Official Mens Shoes - Brown,"KSh13,000.00",27,No reviews,0.00,Sale,Available,"KSh13,000.00"
Foot Traffic Spiro Mens Shoes - Black,"KSh13,000.00",27,No reviews,0.00,Sale,Available,"KSh13,000.00"
Foot Traffic Black Brick With Lace Mens Shoes - Black,,,No reviews,0.00,,Available,"KSh9,500.00"
Foot Traffic Croco Mens Shoes - Black,"KSh13,000.00",27,No reviews,0.00,Sale,Available,"KSh13,000.00"
Azu's Casual Men's Sandals - Bwana,,,No reviews,0.00,,Available,"KSh3,500.00"
Big and Tall ALDO Casual Loafer - Tan,,,No reviews,0.00,,Available,"KSh15,000.00"
Agoza Fashion Laced Genuine Sheep Leather Upper - Black,,,No reviews,0.00,,Available,"KSh4,764.00"
Mallel Footwear Samwel Leather Sandals - Black,,,No reviews,0.00,,Available,"KSh2,500.00"
Mallel Footwear Robert Leather Sandals - Brown,,,No reviews,0.00,,Available,"KSh2,500.00"
Mallel Footwear James Leather Sandals - Black,,,No reviews,0.00,,Available,"KSh2,500.00"
Mallel Footwear James Leather Sandals - Brown,,,No reviews,0.00,,Available,"KSh2,500.00"
Maasai Treads Hatua Jean + Leather Unisex Shoes - Light Blue / Brown,"KSh2,500.00",5,No reviews,0.00,Sale,Available,"KSh2,500.00"
Maasai Treads Hatua Shuka Unisex Shoes - Red Print,"KSh2,300.00",5,No reviews,0.00,Sale,Available,"KSh2,300.00"
Maasai Treads Hatua Shuka Unisex Shoes - Blue Print,"KSh2,300.00",5,No reviews,0.00,Sale,Available,"KSh2,300.00"
Maasai Treads Hatua Kikoy Unisex Shoes - Blue Print,"KSh2,300.00",5,No reviews,0.00,Sale,Available,"KSh2,300.00"
Maasai Treads Tsavo Men's Shuka Shoes - Black / Blue Print,"KSh1,900.00",5,No reviews,0.00,Sale,Available,"KSh1,900.00"
Agoza Fashion Sheep Skin Leather Upper With Shoe Lace - Black,,,No reviews,0.00,,Available,"KSh6,805.00"
Agoza Fashion Sheep Skin Leather Upper Without Shoe Lace - Black,,,No reviews,0.00,,Available,"KSh6,805.00"
Agoza Fashion Sheepskin And Cow Hide Upper Shoes - Green,,,No reviews,0.00,,Available,"KSh7,795.00"
