description,original_price,discount,reviews,ratings,sale,soldout,product_price
Alladin Zecchino Men's Long Sleeve Shirt (Double pocket) - Black,"KSh1,500.00",30,No reviews,0.00,Sale,Available,"KSh1,500.00"
Beqss Chinese Collar Ankara Shirt Short Sleeved - Blue / Black Print,,,No reviews,0.00,,Available,"KSh6,600.00"
Beqss Collar Ankara Shirt Long Sleeved - Blue / Black Print,,,No reviews,0.00,,Available,"KSh6,890.00"
Satin Revolution Long Sleeved Button Up Men's Shirt - Black,"KSh4,000.00",25,No reviews,0.00,Sale,Available,"KSh4,000.00"
Satin Revolution Long Sleeved Men's Button Up Shirt - Maroon,"KSh4,000.00",25,No reviews,0.00,Sale,Available,"KSh4,000.00"
Satin Revolution Short Sleeved Men's Button Up Shirt - Navy Blue,"KSh4,000.00",25,No reviews,0.00,Sale,Available,"KSh4,000.00"
Miss Kerre Fashions Desibel 2129 Shirt - Black,"KSh4,000.00",43,No reviews,0.00,Sale,Available,"KSh4,000.00"
King's Collection Unisex Round Neck T-shirt - Dark Red,KSh850.00,15,No reviews,0.00,Sale,Available,KSh850.00
Ancestral House Two Piece - Blue,,,No reviews,0.00,,Available,"KSh18,000.00"
Miss Kerre Fashions Desibel Classic Short Sleeve SS - Grey,"KSh4,800.00",42,No reviews,0.00,Sale,Available,"KSh4,800.00"
Miss Kerre Fashions Owen SlimFit Shirt - Navy / White / SkyBlue,"KSh4,000.00",38,No reviews,0.00,Sale,Available,"KSh4,000.00"
Miss Kerre Fashions Garvallo SlimFit Stripped Shirts - Brown / White,"KSh4,500.00",38,No reviews,0.00,Sale,Available,"KSh4,500.00"
Miss Kerre Fashions Garvallo SlimFit Shirts - Multi,"KSh6,000.00",43,No reviews,0.00,Sale,Available,"KSh6,000.00"
Miss Kerre Fashions Garvallo SlimFit Shirts - Grey,"KSh6,000.00",43,No reviews,0.00,Sale,Available,"KSh6,000.00"
Miss Kerre Fashions Desibel Shirt - Maroon,"KSh6,000.00",37,No reviews,0.00,Sale,Available,"KSh6,000.00"
Miss Kerre Fashions S'Costa Shirts - SkyBlue,"KSh6,000.00",43,No reviews,0.00,Sale,Available,"KSh6,000.00"
Miss Kerre Fashions Desibel 502 Shirt - Navy Blue,"KSh3,000.00",37,No reviews,0.00,Sale,Available,"KSh3,000.00"
Miss Kerre Fashions Prada Milano T-shirts - Black / Red,"KSh6,000.00",35,No reviews,0.00,Sale,Available,"KSh6,000.00"
Lizzellis Mens Shirt Polka Dotted - Black,"KSh4,000.00",13,No reviews,0.00,Sale,Available,"KSh4,000.00"
Miss Kerre Fashions Garvallo SlimFit Print Shirts - White,"KSh6,000.00",43,No reviews,0.00,Sale,Available,"KSh6,000.00"
Zetu Men's Print Beach Shirt - Green / Blue,"KSh2,100.00",30,No reviews,0.00,,Sold out,"KSh2,100.00"
Zetu Men's 'Make Yourself...' T-Shirt - Grey,"KSh2,100.00",30,No reviews,0.00,Sale,Available,"KSh2,100.00"
