description,original_price,discount,reviews,ratings,sale,soldout,product_price
King's Collection Unisex Premium Hoodie - Prussian Blue,"KSh1,750.00",15,1 review,5.00,,Sold out,"KSh1,750.00"
Ancestral House Ankara Mix Jacket - Black,,,No reviews,0.00,,Available,"KSh12,672.00"
King's Collection Unisex Premium Hoodie - Dark Beige,"KSh1,750.00",15,No reviews,0.00,Sale,Available,"KSh1,750.00"
Zola SpringField Sweater - Grey,"KSh9,500.00",15,No reviews,0.00,Sale,Available,"KSh9,500.00"
Phase Brands Galaxy Hoodie - White,,,No reviews,0.00,,Available,"KSh3,200.00"
Phase Brands Phases Hoodies - Grey,,,No reviews,0.00,,Available,"KSh3,200.00"
Phase Brands Upendo Umoja Amani Hoodie - Jungle Green,,,No reviews,0.00,,Available,"KSh3,200.00"
Phase Brands Smiley Hoodie - White,,,No reviews,0.00,,Available,"KSh3,200.00"
Zola Classy Checked Cardigan - Grey,"KSh9,500.00",15,No reviews,0.00,Sale,Available,"KSh9,500.00"
Zola Free Size Sweater - Grey,"KSh7,500.00",15,No reviews,0.00,Sale,Available,"KSh7,500.00"
Zola Cardigan Free Size Sweater - Blue,"KSh7,500.00",15,No reviews,0.00,Sale,Available,"KSh7,500.00"
Zola CJ Sweater - Grey,"KSh7,500.00",15,No reviews,0.00,Sale,Available,"KSh7,500.00"
Zola African Print Men's Kimono - Yellow Ankara,"KSh5,500.00",15,No reviews,0.00,Sale,Available,"KSh5,500.00"
Zola Ankara Bomber Jacket - Blue Ankara,"KSh5,500.00",15,No reviews,0.00,Sale,Available,"KSh5,500.00"
Zoya Brave Cordudoy Bomber Jacket - Navy Blue,"KSh3,950.00",50,No reviews,0.00,Sale,Available,"KSh3,950.00"
Zoya Brave Satin Hoodie - Purple Abstract Print,"KSh3,950.00",50,No reviews,0.00,Sale,Available,"KSh3,950.00"
Zoya Brave Satin Hoodie - Orange Abstract Print,"KSh3,950.00",50,No reviews,0.00,Sale,Available,"KSh3,950.00"
Zoya Brave Satin Bomber Jacket - Purple Abstract Print,"KSh3,950.00",50,No reviews,0.00,Sale,Available,"KSh3,950.00"
Zoya Brave Satin Bomber Jacket - Burgundy Abstract Print,"KSh3,950.00",50,No reviews,0.00,Sale,Available,"KSh3,950.00"
BOG Bomber Jacket - Black,,,No reviews,0.00,,Available,"KSh4,000.00"
Rooted 254 Hoodie - Grey,,,No reviews,0.00,,Available,"KSh4,000.00"
King's Collection Unisex Round Neck Sweatshirt - Navy Blue,"KSh1,665.00",15,1 review,5.00,Sale,Available,"KSh1,665.00"
King's Collection Unisex Round Neck Sweatshirt - Black,"KSh1,665.00",15,1 review,5.00,,Sold out,"KSh1,665.00"
King's Collection Unisex Premium Hoodie - Olive Green,"KSh1,750.00",15,1 review,5.00,Sale,Available,"KSh1,750.00"
King's Collection Unisex Premium Hoodie - Beige,"KSh1,750.00",15,4 reviews,4.25,Sale,Available,"KSh1,750.00"
King's Collection Unisex Premium Hoodie - Steel Grey,"KSh1,750.00",15,1 review,4.00,Sale,Available,"KSh1,750.00"
King's Collection Unisex Premium Hoodie - Navy Blue,"KSh1,750.00",15,2 reviews,4.50,,Sold out,"KSh1,750.00"
King's Collection Unisex Premium Hoodie - Red,"KSh1,750.00",15,3 reviews,5.00,,Sold out,"KSh1,750.00"
King's Collection Unisex Premium Hoodie - White,"KSh1,750.00",15,4 reviews,5.00,,Sold out,"KSh1,750.00"
Mika Designs Long Hoodie Jacket - White / Rust Print,,,No reviews,0.00,,Available,"KSh7,500.00"
Big and Tall Linea Uomo Sweater - Jungle Green,,,No reviews,0.00,,Available,"KSh7,500.00"
Big and Tall APT Sweater - Dark Blue,,,No reviews,0.00,,Available,"KSh7,500.00"
Big and Tall Tommy Hilfiger Sweater - Black,,,No reviews,0.00,,Available,"KSh7,500.00"
Big and Tall CHAPS Blazer - Pink,,,No reviews,0.00,,Available,"KSh15,000.00"
Big and Tall CHAPS Blazer - Dark Blue,,,No reviews,0.00,,Available,"KSh15,000.00"
Big and Tall CHAPS Blazer - Light Blue,,,No reviews,0.00,,Available,"KSh15,000.00"
Big and Tall Croft & Barrow - Grey,,,No reviews,0.00,,Available,"KSh7,500.00"
Big and Tall Van Heusen Sweater - Maroon,,,No reviews,0.00,,Available,"KSh7,500.00"
Zoya Basic Oversized Unisex Hoodie - Black,,,No reviews,0.00,,Available,"KSh2,950.00"
Agoza Fashion Majestic Racer Jacket - Black,,,No reviews,0.00,,Available,"KSh28,842.00"
Agoza Fashion Cheetah Racer Jacket - Navy Blue,,,No reviews,0.00,,Available,"KSh28,842.00"
Agoza Fashion Ethio Racer Jacket - Hunters Green,,,No reviews,0.00,,Available,"KSh28,842.00"
Agoza Fashion Afro Racer Jacket - Navy Blue,,,No reviews,0.00,,Available,"KSh28,842.00"
Agoza Fashion Kobele Racer Jacket - Black,,,No reviews,0.00,,Available,"KSh28,842.00"
