description,original_price,discount,reviews,ratings,sale,soldout,product_price
Abby's Jewelry Glam Castor Oil - Yellow,"KSh1,200.00",10, No reviews ,0.00,Sale,Available,"KSh1,200.00"
Abby's Jewelry Glam Castor Oil with a blend of Olive oil - Yellow,"KSh1,500.00",10, No reviews ,0.00,Sale,Available,"KSh1,500.00"
L'élu Botanics Bakuchi & Ashwagandha Regenerating Crème,,, No reviews ,0.00,,Available,"KSh3,500.00"
Phase Brands Baylis & Harding Boudoire Rose,,, No reviews ,0.00,,Available,"KSh4,000.00"
Herbella Anti aging Cream 100ml,"KSh2,850.00",12, No reviews ,0.00,Sale,Available,"KSh2,850.00"
Tam Tam Coconut Body Soufflé,"KSh3,000.00",17, No reviews ,0.00,Sale,Available,"KSh3,000.00"
Tam Tam Extra Virgin Coconut oil for Hair & Body,KSh600.00,17, No reviews ,0.00,Sale,Available,KSh600.00
Tam Tam Extra Virgin Coconut oil for Hair & Body,"KSh2,000.00",25, No reviews ,0.00,Sale,Available,"KSh2,000.00"
Kipusa Jada Rapid Remover,,, No reviews ,0.00,,Available,"KSh2,000.00"
Kipusa Nour Organics Rose Hip Seed Oil,,, No reviews ,0.00,,Available,"KSh2,500.00"
Kipusa Nour Organics Rose Body Oil,,, No reviews ,0.00,,Available,"KSh3,000.00"
Kipusa Nour Organics Rose Water,,, No reviews ,0.00,,Available,"KSh1,000.00"
Kipusa Alika Beard Oil Black Seed Conditioning,,, No reviews ,0.00,,Available,"KSh4,000.00"
Kipusa Alika Beard Wash,,, No reviews ,0.00,,Available,"KSh2,000.00"
Kipusa Licial Wellness Frankincense,,, No reviews ,0.00,,Available,"KSh2,000.00"
Kipusa Licial Wellness Lavender,,, No reviews ,0.00,,Available,"KSh3,000.00"
Kipusa Licial Wellness Tea Tree,,, No reviews ,0.00,,Available,"KSh2,000.00"
Kipusa Licial Wellness Ylang Ylang,,, No reviews ,0.00,,Available,"KSh3,000.00"
Kipusa Licial Wellness Rosemary,,, No reviews ,0.00,,Available,"KSh3,000.00"
Kipusa Licial Wellness Sweet Myrrh,,, No reviews ,0.00,,Available,"KSh5,000.00"
Kipusa Pameri Shea Fantasy,,, No reviews ,0.00,,Available,"KSh1,500.00"
Kipusa Pameri Shea Fantasy With Lavender & Ylang Ylang,,, No reviews ,0.00,,Available,"KSh1,500.00"
Kipusa licial wellness peppermint,,, No reviews ,0.00,,Available,"KSh3,000.00"
Kipusa Pameri Shea Nilotica Butter Coco Shea,,, No reviews ,0.00,,Available,"KSh1,500.00"
Kipusa Pameri Shea Fantasy With Lavender,,, No reviews ,0.00,,Available,"KSh1,500.00"
Kipusa Pameri Shea Fantasy With Lavender,,, No reviews ,0.00,,Available,"KSh1,500.00"
Kipusa Nanli Bamboo And Teak Whipped Shea Butter,,, No reviews ,0.00,,Available,"KSh2,500.00"
Kipusa Nanli Fragrance Free Whipped Shea Butter,,, No reviews ,0.00,,Available,"KSh2,500.00"
Kipusa Nanli Vanilla Dream Whipped Shea Butter,,, No reviews ,0.00,,Available,"KSh2,500.00"
Kipusa Nanli Peaches And Cream Whipped Shea Butter,,, No reviews ,0.00,,Available,"KSh2,500.00"
Kipusa Pameri Shea Nilotica Butter Vanilla And Orange,,, No reviews ,0.00,,Available,"KSh1,500.00"
Kipusa Pameri Shea Fantasy Oil,,, No reviews ,0.00,,Available,"KSh2,500.00"
Kipusa Pameri Shea Fantasy Oil,,, No reviews ,0.00,,Available,"KSh1,500.00"
Kipusa Pameri Shea Fantasy With Lavender Oil,,, No reviews ,0.00,,Available,"KSh1,500.00"
Kipusa Sorano Anti-aging Collagen Cream,,, No reviews ,0.00,,Available,"KSh6,000.00"
Kupusa Sorano Miracle Facial Oil,,, No reviews ,0.00,,Available,"KSh5,000.00"
Kipusa Keyara Baby Balm,,, No reviews ,0.00,,Available,"KSh3,000.00"
Kipusa Claire Naturals Intense Body Butter,,, No reviews ,0.00,,Available,"KSh3,000.00"
Sheth Naturals Crude Avocado Oil,,, No reviews ,0.00,,Available,KSh750.00
Sheth Naturals Aloe Vera Gel,,, No reviews ,0.00,,Available,KSh800.00
Sheth Naturals Marula Oil,,, No reviews ,0.00,,Available,"KSh1,850.00"
Qasil Beauty Instant Radiance Exfoliating Mask,,, No reviews ,0.00,,Available,"KSh2,000.00"
Qasil Beauty Intensive Repair Serum,,, No reviews ,0.00,,Available,"KSh2,800.00"
Qasil Beauty Vitamin C Serum,,, No reviews ,0.00,,Available,"KSh3,500.00"
Mandevu Beard Oil,"KSh1,600.00",20, 1 review ,5.00,Sale,Available,"KSh1,600.00"
