description,original_price,discount,reviews,ratings,sale,soldout,product_price
PlainChic Box Pleat Palazzo Pants - Pink,,,2 reviews,3.00,,Available,"KSh3,200.00"
PlainChic Box Pleat Palazzo Pants - Brown,,,1 review,1.00,,Available,"KSh3,200.00"
PlainChic Culosuit - Black,,,No reviews,0.00,,Available,"KSh3,950.00"
Salok Havilah Masha Jumpsuits - Green,"KSh4,750.00",20,3 reviews,3.67,Sale,Available,"KSh4,750.00"
Vivo Basic Straight Leg Pants - Burgundy,,,3 reviews,5.00,,Sold out,"KSh3,550.00"
Elsie Glamour Nova Jumpsuit - Black,"KSh6,950.00",10,2 reviews,4.00,Sale,Available,"KSh6,950.00"
Hessed Sleeveless Jumpsuits - Navy Blue,"KSh3,600.00",22,1 review,5.00,Sale,Available,"KSh3,600.00"
PlainChic One Piece Jumpsuit - Green,,,No reviews,0.00,,Available,"KSh4,600.00"
Vivo Basic Side Slit Leisure Pants - Black,,,No reviews,0.00,,Available,"KSh3,550.00"
Vivo Basic Leisure Pants - Navy Blue,,,3 reviews,4.67,,Available,"KSh3,550.00"
Zoya Party Square Neck Catsuit - Black,"KSh2,950.00",30,No reviews,0.00,Sale,Available,"KSh2,950.00"
Vivo Upe Wide Leg Pants - Black,,,3 reviews,5.00,,Available,"KSh4,250.00"
African Yuva Tulips Pants - Rust,,,No reviews,0.00,,Available,"KSh5,700.00"
Safari Kaya Tappered Pants - Black,,,No reviews,0.00,,Available,"KSh2,950.00"
Vivo Basic Palazzo Pants  - Dark Green,,,1 review,4.00,,Sold out,"KSh3,950.00"
Zoya Athleisure Hot Pants - Flamingo Print,"KSh1,250.00",30,No reviews,0.00,Sale,Available,"KSh1,250.00"
Anika Straight Leg Dress Pants With Zipper At Back - Black,"KSh2,300.00",30,No reviews,0.00,Sale,Available,"KSh2,300.00"
Popular 21 Thermal Binding Hem Shorts - Olive,"KSh1,700.00",20,No reviews,0.00,Sale,Available,"KSh1,700.00"
Popular 21 Thermal Binding Hem Shorts - Black,"KSh1,700.00",20,1 review,5.00,Sale,Available,"KSh1,700.00"
African Yuva Palazzo Pants - Black,,,No reviews,0.00,,Available,"KSh5,700.00"
Jf Designs Pallazo Pants - White,,,No reviews,0.00,,Available,"KSh2,900.00"
Zoya Athleisure Biker Shorts - Flamingo Print,"KSh1,500.00",30,No reviews,0.00,Sale,Available,"KSh1,500.00"
Phyls Collections Diani Jumpsuit Mustard,"KSh9,000.00",39,No reviews,0.00,Sale,Available,"KSh9,000.00"
Vivo Dua Wide Leg Pants - Black,,,1 review,5.00,,Available,"KSh3,250.00"
Elsie Glamour Hazel Unisex Track Suit - Dark Brown,,,No reviews,0.00,,Available,"KSh5,000.00"
Anika Straight Leg Dress Pants With Zipper At Back - Dark Green,"KSh2,300.00",30,No reviews,0.00,Sale,Available,"KSh2,300.00"
Safari Ladies' Skinny Jeans With Slit - White,,,1 review,5.00,,Available,"KSh2,950.00"
Vivo Neza Straight Leg Pants - Black,,,No reviews,0.00,,Sold out,"KSh2,950.00"
Anika No Waistband Clip Shorts with Angular Pockets - Mustard,"KSh1,700.00",30,No reviews,0.00,Sale,Available,"KSh1,700.00"
Vivo Dua Wide Leg Pants - Burgundy,,,1 review,5.00,,Available,"KSh3,250.00"
Popular 21 Thermal Binding Hem Shorts - Taupe,"KSh1,700.00",20,No reviews,0.00,Sale,Available,"KSh1,700.00"
Salok Havilah Rachi Palazo Pants - Black,"KSh3,500.00",20,No reviews,0.00,Sale,Available,"KSh3,500.00"
Safari Corduroy Skinny Jeans - Brown,"KSh2,950.00",97,4 reviews,3.75,,Sold out,"KSh2,950.00"
Zoya Athleisure Hot Pants - Peacock Print,"KSh1,250.00",30,No reviews,0.00,Sale,Available,"KSh1,250.00"
PlainChic  Culosuit - Red,,,No reviews,0.00,,Available,"KSh3,950.00"
Zoya Party Square Neck Playsuit - Black,"KSh2,250.00",30,No reviews,0.00,Sale,Available,"KSh2,250.00"
Vivo Basic Palazzo Pants - Navy Blue,,,No reviews,0.00,,Available,"KSh3,950.00"
Elsie Glamour Luna Official Pants - Navy Blue,"KSh2,550.00",5,No reviews,0.00,Sale,Available,"KSh2,550.00"
