description,original_price,discount,reviews,ratings,sale,soldout,product_price
Salok Rave Shirt Dress - Yellow,"KSh4,500.00",20,9 reviews,3.67,Sale,Available,"KSh4,500.00"
Vivo Basic Spaghetti Strap Slip Dress - Black,,,4 reviews,3.75,,Available,"KSh1,250.00"
Salok Rave Shirt Dress - Black,"KSh4,500.00",20,2 reviews,3.50,Sale,Available,"KSh4,500.00"
Phyls Collections Nate Knee length Shirt Dress Mustard,"KSh8,000.00",44,No reviews,0.00,Sale,Available,"KSh8,000.00"
Elsie Glamour Mamoura Official Dress - Black / White,"KSh3,600.00",20,2 reviews,5.00,Sale,Available,"KSh3,600.00"
Vivo Basic Bodycon - Dark Green,,,3 reviews,4.00,,Available,"KSh3,950.00"
Vivo Thando Dolman Knee Length Dress - Pink Floral Print,"KSh3,950.00",50,No reviews,0.00,Sale,Available,"KSh3,950.00"
Vivo Basic Cap Sleeved Starknot Bodycon Dress - Navy Blue,"KSh3,550.00",10,1 review,5.00,Sale,Available,"KSh3,550.00"
Vivo Basic Bodycon - Red,"KSh3,950.00",10,1 review,5.00,,Sold out,"KSh3,950.00"
Vivo Basic 3/4 Sleeve Leila Bodycon Dress - Black,,,5 reviews,4.80,,Available,"KSh3,500.00"
Vivo Basic Long Sleeved Double Layered Bodycon - Black,,,3 reviews,5.00,,Available,"KSh4,200.00"
Vivo Basic Cuffed Dolman Jersey Dress - Dark Green,,,No reviews,0.00,,Sold out,"KSh3,950.00"
Vivo Basic 3/4 Sleeve Kim Bodycon Dress - Eggplant,"KSh3,950.00",10,3 reviews,5.00,Sale,Available,"KSh3,950.00"
Lizola Multicolored Bodycon Dress - Red Blue Print,"KSh6,500.00",24,1 review,4.00,Sale,Available,"KSh6,500.00"
Lizola Multicoloured Bodycon Dress - Red,"KSh6,500.00",24,2 reviews,4.00,Sale,Available,"KSh6,500.00"
Askari Flowered Sleeveless Dress D008F - Navy Blue Floral,,,1 review,5.00,,Available,"KSh3,650.00"
Plain Chic-ALine Shift Dress - Pink,,,1 review,5.00,,Available,"KSh3,600.00"
Vivo Basic Cuffed Dolman Jersey Dress - Orange,,,1 review,5.00,,Available,"KSh3,950.00"
Vivo Basic Dolman Maxi Dress - Black,,,1 review,5.00,,Available,"KSh4,250.00"
Lizola Multicoloured Bodycon Dress - Purple,"KSh6,500.00",24,2 reviews,5.00,Sale,Available,"KSh6,500.00"
Elsie Glamour Adele Wrap Dress - Rose Purple,"KSh4,350.00",20,No reviews,0.00,Sale,Available,"KSh4,350.00"
Vivo Basic Long Sleeved Double Layered Bodycon - Dark Green,,,No reviews,0.00,,Available,"KSh4,200.00"
Phyls Collections Midi Wrap dress - Black,,,3 reviews,4.67,,Available,"KSh4,950.00"
Vivo Basic 3/4 Sleeve A-Line Maxi Dress - Black,,,No reviews,0.00,,Available,"KSh4,250.00"
Salok Zari Shirt Dress - Black / Dark Blue Stripes,"KSh4,750.00",20,No reviews,0.00,Sale,Available,"KSh4,750.00"
Popular 21 Side Ruched Dress  - Black ,"KSh1,750.00",20,No reviews,0.00,Sale,Available,"KSh1,750.00"
Salok Zari Maxi Dress - Black / Dark Blue Stripes,"KSh4,950.00",20,2 reviews,5.00,Sale,Available,"KSh4,950.00"
Elsie Glamour Juliette Dress - Mustard,"KSh3,800.00",30,2 reviews,5.00,,Sold out,"KSh3,800.00"
Elsie Glamour Asha Official Dress - Navy Blue / Mustard,"KSh3,750.00",30,No reviews,0.00,Sale,Available,"KSh3,750.00"
Elsie Glamour Adele Wrap Dress - Red,"KSh4,350.00",20,1 review,5.00,Sale,Available,"KSh4,350.00"
Tuli Liya Peplum Dress - Dark Green,"KSh5,000.00",40,1 review,1.00,Sale,Available,"KSh5,000.00"
Salok Calze Shift Dress - Blue Floral,"KSh4,250.00",20,2 reviews,4.50,Sale,Available,"KSh4,250.00"
Safari Kaya long Sleeve Dolman Flounce Shirt Dress - Blue,"KSh4,950.00",50,No reviews,0.00,,Sold out,"KSh4,950.00"
Salok Mani Shift Dress -Teal,"KSh4,500.00",20,No reviews,0.00,Sale,Available,"KSh4,500.00"
Vivo Basic Bodycon - Eggplant,,,No reviews,0.00,,Available,"KSh3,950.00"
Salok Akini Mustard Shirt Dress - Yellow,"KSh4,500.00",20,1 review,5.00,Sale,Available,"KSh4,500.00"
Vivo Basic Cap Sleeved Starknot Bodycon Dress - Purple,,,No reviews,0.00,,Available,"KSh3,550.00"
PlainChic Keyhole Skater Dress - Black,,,3 reviews,4.00,,Available,"KSh3,850.00"
Popular 21 Thick Strap Rib Dress - Black ,"KSh2,200.00",20,2 reviews,5.00,Sale,Available,"KSh2,200.00"
Salok Zanzi Shift Dress - Black,"KSh4,200.00",20,No reviews,0.00,Sale,Available,"KSh4,200.00"
Salok Mani Shift Dress - Maroon,"KSh4,500.00",20,No reviews,0.00,Sale,Available,"KSh4,500.00"
Vivo Jema Cap Sleeve Tent Dress -  Sea Green,,,No reviews,0.00,,Available,"KSh4,250.00"
Vivo Lamu Knee Length Cold Shoulder Dress - Black,,,No reviews,0.00,,Sold out,"KSh4,250.00"
Popular 21 Side Ruched Dress  - Beaver Fur ,"KSh1,750.00",20,No reviews,0.00,Sale,Available,"KSh1,750.00"
Vivo Basic Julia Back Pleat Maxi Dress - Black,"KSh4,950.00",10,No reviews,0.00,Sale,Available,"KSh4,950.00"
Vivo Sophia Square Neck Bodycon - Burgundy,,,2 reviews,5.00,,Sold out,"KSh3,550.00"
Popular 21 Cowl Neck With Slit Midi Dress - Dark Amber,"KSh4,100.00",20,No reviews,0.00,Sale,Available,"KSh4,100.00"
Lizola Olivia Dress - White,"KSh6,500.00",24,No reviews,0.00,Sale,Available,"KSh6,500.00"
Vivo Thando Flounce Sleeve Shift Dress - Black,,,5 reviews,3.80,,Available,"KSh3,950.00"
Vivo Basic Cuffed Dolman Jersey Dress - Black,,,No reviews,0.00,,Sold out,"KSh3,950.00"
Popular 21 Mock Neck Rib Dress - Pale Mauve,"KSh1,900.00",20,2 reviews,3.00,Sale,Available,"KSh1,900.00"
Salok Mani Shift Dress - Pink,"KSh4,500.00",20,1 review,5.00,Sale,Available,"KSh4,500.00"
Askari Wing Sleeve Dress D010B - White Floral,,,No reviews,0.00,,Available,"KSh3,650.00"
Vivo Basic Dolman Maxi Dress - Dark Green,,,No reviews,0.00,,Available,"KSh4,250.00"
Aramay Dreamy Knee Length Dress - Purple,,,2 reviews,5.00,,Available,"KSh4,700.00"
Liliadly Tribal Warm Bodycon Dress - Red,,,No reviews,0.00,,Available,"KSh3,650.00"
Alara Black Plus Size Puffy Sleeve Ruched Bodycon Dress - Black,"KSh2,460.00",30,3 reviews,4.33,Sale,Available,"KSh2,460.00"
Vivo Sophia Square Neck Bodycon - Navy Blue,"KSh3,500.00",30,12 reviews,4.75,Sale,Available,"KSh3,500.00"
Safari Tawi A-Line Long Sleeve Shirt Dress - Purple,,,1 review,5.00,,Available,"KSh4,250.00"
Elsie Glamour Cora Official Dress - Cyan,"KSh3,600.00",40,No reviews,0.00,Sale,Available,"KSh3,600.00"
Ladies & Linen Marble Shirt Dress - White / Red Print,,,1 review,5.00,,Available,"KSh2,500.00"
Vivo Basic Sleeveless Kim Bodycon - Dark Green,,,No reviews,0.00,,Available,"KSh3,550.00"
Vivo Basic Sleeveless Kim Bodycon - Navy Blue,"KSh3,550.00",10,3 reviews,4.67,Sale,Available,"KSh3,550.00"
Vivo Jamila Flounce Sleeve Tent Maxi Dress - Purple,"KSh5,950.00",50,No reviews,0.00,,Sold out,"KSh5,950.00"
Salok Mani Mustard Shift Dress - Yellow,"KSh4,500.00",20,1 review,5.00,Sale,Available,"KSh4,500.00"
Safari Tawi A-Line Long Sleeve Shirt Dress - Rust,"KSh4,250.00",10,No reviews,0.00,Sale,Available,"KSh4,250.00"
Popular 21 V-Notch Detail Tank Rib Dress - Nude,"KSh3,000.00",20,1 review,5.00,Sale,Available,"KSh3,000.00"
Zoya Party Front Cross Strap Dress - Red,"KSh2,250.00",30,No reviews,0.00,Sale,Available,"KSh2,250.00"
PlainChic Halter Neck Maxi - Blue,,,No reviews,0.00,,Available,"KSh4,500.00"
Elsie Glamour Adele Wrap Dress - Navy Blue,"KSh4,350.00",20,No reviews,0.00,Sale,Available,"KSh4,350.00"
Plainchic Mimi Bodycon - Black / White print,,,No reviews,0.00,,Available,"KSh3,350.00"
Popular 21 Low Armhole Side Ruched Dress - Old Rose,"KSh3,200.00",20,1 review,5.00,Sale,Available,"KSh3,200.00"
Popular 21 Rib Racer Back Tank Mini Dress - Rust,"KSh2,000.00",20,2 reviews,4.00,Sale,Available,"KSh2,000.00"
Safari Tawi A-Line Long Sleeve Shirt Dress - Teal,,,1 review,5.00,,Available,"KSh4,250.00"
Sayuri Maxi Round Neck Crotchet Cover Up Dress - White,"KSh3,950.00",30,1 review,5.00,Sale,Available,"KSh3,950.00"
Vivo Lalea Tulip Collar Knee Length Tent Dress - Rust,,,No reviews,0.00,,Available,"KSh4,250.00"
Vivo Basic Sleeveless Ponte Circular Dress - Black,,,No reviews,0.00,,Available,"KSh3,950.00"
Tuli Nuru Shirt Dress - Orange,,,No reviews,0.00,,Available,"KSh4,000.00"
Tuli Ayla Bodycon Dress - Red,"KSh5,000.00",40,No reviews,0.00,Sale,Available,"KSh5,000.00"
Phyls Collections Zuri Knee Length Dress - Red,"KSh4,250.00",20,No reviews,0.00,Sale,Available,"KSh4,250.00"
Vivo Basic 3/4 Sleeve Kena Tent Knee Length Dress - Green,,,No reviews,0.00,,Available,"KSh4,500.00"
Smash By Kaly Alpha Sheath Dress - Grey / Black,"KSh5,500.00",55,1 review,1.00,Sale,Available,"KSh5,500.00"
Popular 21 Thick Strap Rib Dress - Elfin Yellow ,"KSh2,200.00",20,No reviews,0.00,Sale,Available,"KSh2,200.00"
Salok Zanzi Shift Dress - Orange,"KSh4,200.00",20,No reviews,0.00,Sale,Available,"KSh4,200.00"
Lizola Multicoloured Bodycon Dress - Green / Yellow Print,"KSh6,500.00",24,3 reviews,4.67,Sale,Available,"KSh6,500.00"
Popular 21 Asymmetrical Short-Sleeved Dress - Black,"KSh2,500.00",20,1 review,5.00,Sale,Available,"KSh2,500.00"
Tuli Makayla Shift Dress - Plum,,,2 reviews,5.00,,Available,"KSh4,200.00"
Popular 21 Cowl Low Back With Slit Slight A-Line Dress - Eden Green Swirl,"KSh2,400.00",20,No reviews,0.00,Sale,Available,"KSh2,400.00"
Vivo Muna Cap Sleeved Knee Length Dress - Black,"KSh3,950.00",30,No reviews,0.00,Sale,Available,"KSh3,950.00"
Vivo Basic Sleeveless Kim Bodycon - Dark Grey,,,1 review,5.00,,Available,"KSh3,550.00"
Izulu Lugard Dress - Burnt Orange,"KSh7,900.00",30,No reviews,0.00,Sale,Available,"KSh7,900.00"
Izulu Havannah Dress - Pink,"KSh6,500.00",26,No reviews,0.00,Sale,Available,"KSh6,500.00"
Izulu Havannah Dress - Orange,"KSh6,500.00",26,No reviews,0.00,Sale,Available,"KSh6,500.00"
Smash By Kaly Mini Shift Dress For Dadas - Grey,"KSh5,500.00",64,No reviews,0.00,Sale,Available,"KSh5,500.00"
Izulu Mukutan Dress - Red,"KSh6,500.00",26,1 review,3.00,Sale,Available,"KSh6,500.00"
Popular 21 Long Sleeve Crew Neck Mini Dress - Rust,"KSh1,950.00",20,No reviews,0.00,Sale,Available,"KSh1,950.00"
Vivo Basic Kena Tent Knee Length Dress - Black,,,1 review,5.00,,Available,"KSh4,250.00"
Vivo Basic Sleeveless Kim Bodycon - Purple,"KSh3,550.00",10,No reviews,0.00,Sale,Available,"KSh3,550.00"
Safari Huru Short Sleeved Shirt Dress - Teal,,,No reviews,0.00,,Available,"KSh4,950.00"
Plainchic Double Slit Maxi - Brown,,,No reviews,0.00,,Available,"KSh4,100.00"
Popular 21 Ruching Tie Square Neck A-Line Dress - White,"KSh3,600.00",20,No reviews,0.00,Sale,Available,"KSh3,600.00"
Vivo Basic Puff Sleeved Bodycon - Chocolate,,,No reviews,0.00,,Available,"KSh4,250.00"
Vivo Faraji Asymetrical Neck Sheath Dress - Dark Taupe,"KSh4,950.00",50,1 review,5.00,Sale,Available,"KSh4,950.00"
Salok Mani Shift Dress - Navy blue,"KSh4,500.00",20,1 review,5.00,Sale,Available,"KSh4,500.00"
Vivo Basic Escape A-Line Dress - Black,,,2 reviews,4.50,,Available,"KSh3,950.00"
Elsie Glamour Talia Official Dress - Black / Red,"KSh3,950.00",10,No reviews,0.00,Sale,Available,"KSh3,950.00"
Vivo Fasi Long Sleeve Tear Cut Out Shift Dress - Purple,,,1 review,5.00,,Available,"KSh4,950.00"
Liliadly Tribal Cool Green Wrap Dress - Green,,,1 review,3.00,,Available,"KSh3,650.00"
Salok Havilah Pini Midi Nude Dress - Nude,"KSh4,500.00",20,No reviews,0.00,Sale,Available,"KSh4,500.00"
PlainChic Turtle Neck Shift - Green,,,No reviews,0.00,,Available,"KSh3,950.00"
Kidosho Dari Dress - Emerald,,,1 review,4.00,,Available,"KSh5,950.00"
Lola Knit V Neck Sleeveless Bodycon Tank Dress - Khaki,"KSh1,950.00",30,No reviews,0.00,Sale,Available,"KSh1,950.00"
Vivo Zuri V- Neck Bodycon - Navy Blue,"KSh3,950.00",30,2 reviews,3.50,Sale,Available,"KSh3,950.00"
Vivo Faraji V- Neck Bodycon - Burgundy,"KSh3,950.00",30,1 review,5.00,Sale,Available,"KSh3,950.00"
Elsie Glamour Juliette Dress - Purple,"KSh3,800.00",30,1 review,5.00,Sale,Available,"KSh3,800.00"
Salok Tanzi Maxi Dress - Orange,"KSh4,250.00",20,No reviews,0.00,Sale,Available,"KSh4,250.00"
Salok Tanzi Maxi Dress - Black,"KSh4,250.00",20,1 review,5.00,Sale,Available,"KSh4,250.00"
Plainchic Sheila Shift - Black,,,No reviews,0.00,,Available,"KSh4,000.00"
Popular 21 Cami Ponte Scoop neck Midi Dress - Taupe,"KSh3,300.00",20,No reviews,0.00,Sale,Available,"KSh3,300.00"
Vivo Fahari Cowl Drape Bodycon - Black,,,No reviews,0.00,,Available,"KSh4,950.00"
Zia Africa Wild Safari Maxi Dress - White,"KSh5,500.00",30,1 review,5.00,Sale,Available,"KSh5,500.00"
Vivo Malindi Buttoned Kaftan (JK) - White / Mint Tropical Floral Print,"KSh9,500.00",50,No reviews,0.00,,Sold out,"KSh9,500.00"
Popular 21 Side Ruched Dress  - White ,"KSh2,000.00",20,No reviews,0.00,Sale,Available,"KSh2,000.00"
Liliadly Chiffon Flowered Off Shoulder Dress - Cream Multi-Color Flower,,,No reviews,0.00,,Available,"KSh3,950.00"
Vivo Jema Cap Sleeve Tent Dress - Navy Blue,,,No reviews,0.00,,Sold out,"KSh4,250.00"
Vivo J.O V-Neck Sheath Dress - Black,,,No reviews,0.00,,Sold out,"KSh4,250.00"
Vivo Waridi A-Line Dress - Green,"KSh3,950.00",10,2 reviews,4.00,Sale,Available,"KSh3,950.00"
Vivo Zawadi Keyhole Dress - Black,,,1 review,5.00,,Available,"KSh4,550.00"
Liliadly Ruffled Shift Dress - Navy Blue,,,No reviews,0.00,,Available,"KSh3,550.00"
Popular 21 Open Back Cowl Neck Maxi Dress - Simply Green,"KSh4,400.00",20,No reviews,0.00,Sale,Available,"KSh4,400.00"
Salok Havilah Naya Maxi Dress - Jungle Green Print,"KSh5,500.00",20,No reviews,0.00,Sale,Available,"KSh5,500.00"
Vivo Wastani Shirred Neck Tent Maxi Dress - Mustard,,,1 review,5.00,,Sold out,"KSh6,950.00"
Lizola Bernice Dress - Red,"KSh6,500.00",24,No reviews,0.00,Sale,Available,"KSh6,500.00"
Smash By Kaly Lexus Safari Mini Dress - Green,"KSh4,800.00",20,No reviews,0.00,Sale,Available,"KSh4,800.00"
Smash By Kaly Lexus Safari Mini Dress - White,,,No reviews,0.00,,Available,"KSh4,800.00"
Popular 21 Racer-Back Knee-Length Dress - Black,"KSh1,500.00",20,No reviews,0.00,Sale,Available,"KSh1,500.00"
Vivo Basic Cap Sleeve Bodycon - Sea Green,,,No reviews,0.00,,Available,"KSh3,950.00"
Da'joy Fashions Dallas Dress - White,"KSh4,400.00",20,No reviews,0.00,Sale,Available,"KSh4,400.00"
