description,original_price,discount,reviews,ratings,sale,soldout,product_price
Fikira Snake Skin Strappy Heel - White Gold,,,No reviews,0.00,,Available,"KSh4,600.00"
Fikira Strappy Chunky Heel - Rose Gold,,,No reviews,0.00,,Available,"KSh4,600.00"
Fikira Metallic Chunky Sandal Heel - Gold,,,No reviews,0.00,,Available,"KSh5,500.00"
Fikira Metallic Stiletto Sandal Heel - Gold,,,No reviews,0.00,,Available,"KSh5,500.00"
Fikira Bow And Rhinestone Slingback Pumps - Apricot,,,No reviews,0.00,,Available,"KSh12,500.00"
Fikira Glitter Chunky Heeled Sandals - Silver,,,No reviews,0.00,,Available,"KSh5,500.00"
Fikira Minimalist Chunky Heeled Sandal - White,,,No reviews,0.00,,Available,"KSh5,500.00"
Fikira Bow Point Toe Pumps - White,,,No reviews,0.00,,Available,"KSh12,500.00"
Fikira Bow And Faux Pearl Strap Heel - White,,,No reviews,0.00,,Available,"KSh12,500.00"
Fikira Chunky Heeled Sandals - Gold,,,No reviews,0.00,,Available,"KSh5,500.00"
The Fashion Frenzy Sandals - Blue,,,No reviews,0.00,,Available,"KSh2,800.00"
Simbaress Fashion Tembo Sandals - Black,,,No reviews,0.00,,Available,"KSh4,490.00"
Azu's Ladies Kilifi Sandals 067W,,,No reviews,0.00,,Available,"KSh3,300.00"
Biba Trends Collections Brown Peep Toe Sandals - Brown / White,,,No reviews,0.00,,Available,"KSh1,500.00"
Azu's Ladies Beaded Backstrap Sandals - Copper,,,No reviews,0.00,,Available,"KSh3,300.00"
Biba Trends Collection Maroon Peep Toe Sandals - Maroon / Black,,,No reviews,0.00,,Available,"KSh1,500.00"
Biba Trends Collections Maroon Sandals - Maroon / Black,,,No reviews,0.00,,Available,"KSh1,500.00"
Biba Trends Collections Red Sandals - Red / Black,,,No reviews,0.00,,Available,"KSh1,500.00"
Biba Trends Collections Orange Sandal - Orange / Brown,,,No reviews,0.00,,Available,"KSh1,500.00"
Biba Trends Collections Maroon Sandals - Maroon / Brown,,,No reviews,0.00,,Available,"KSh1,500.00"
Fikira Sandal Heel - Burgundy,,,No reviews,0.00,,Available,"KSh5,500.00"
Fikira Minimalist Suedette Heels - Black,,,1 review,5.00,,Available,"KSh5,500.00"
Fikira Satin Stiletto Heels - Gold,,,No reviews,0.00,,Available,"KSh5,500.00"
Skarpa Shoes Short Boots - Black,"KSh10,000.00",15,No reviews,0.00,Sale,Available,"KSh10,000.00"
Skarpa Shoes Open low Heel Sandal - Beige,"KSh5,000.00",20,No reviews,0.00,Sale,Available,"KSh5,000.00"
Skarpa Shoes Open Low Heel Sandal - Black,"KSh5,000.00",20,No reviews,0.00,Sale,Available,"KSh5,000.00"
Skarpa Shoes Low Block Heels-Brown Croco,"KSh6,000.00",17,No reviews,0.00,Sale,Available,"KSh6,000.00"
Skarpa Shoes Open Block Heels - Beige,"KSh6,000.00",17,No reviews,0.00,Sale,Available,"KSh6,000.00"
Skarpa Shoes Block Open Heels - Animal Print,"KSh15,000.00",13,No reviews,0.00,Sale,Available,"KSh15,000.00"
