description,original_price,discount,reviews,ratings,sale,soldout,product_price
Ascili Malkia Fleece Wrap Coat - Caramel Beige,,,No reviews,0.00,,Available,"KSh5,900.00"
Ascili Malkia Fleece Wrap Coat - Red,,,No reviews,0.00,,Available,"KSh5,900.00"
Elsie Glamour Waridi Trench Coat - Grey,,,1 review,4.00,,Available,"KSh4,750.00"
Dewuor Amillo Sleeveless Kimono - Brown,,,No reviews,0.00,,Available,"KSh3,800.00"
Hessed Unisex Hoodies - Blue,"KSh2,500.00",38,No reviews,0.00,Sale,Available,"KSh2,500.00"
Jf Designs Kimono Wear - Pink,"KSh2,500.00",20,No reviews,0.00,Sale,Available,"KSh2,500.00"
Jf Designs Kimono Wear - Brown,"KSh2,500.00",20,No reviews,0.00,Sale,Available,"KSh2,500.00"
Jf Designs kimono Wear - Black,"KSh2,500.00",20,No reviews,0.00,Sale,Available,"KSh2,500.00"
Jf Designs Kimono Wear - Green,"KSh2,500.00",20,No reviews,0.00,Sale,Available,"KSh2,500.00"
Jf Designs Kimono Wear - White,"KSh2,500.00",20,No reviews,0.00,Sale,Available,"KSh2,500.00"
LNC Nyar Got High Low Jacket - Orange / Black Print,,,No reviews,0.00,,Available,"KSh8,000.00"
Da'joy Fashions Iliad Ankara Coat - Black,,,No reviews,0.00,,Available,"KSh5,500.00"
Elsie Glamour Nia Hygge Shawl - Black,,,No reviews,0.00,,Available,"KSh5,800.00"
Elsie Glamour Nia Hygge Shawl - Rust Brown,,,No reviews,0.00,,Available,"KSh5,800.00"
Elsie Glamour Nia Hygge Shawl - Mustard,,,No reviews,0.00,,Available,"KSh5,800.00"
Izulu Muridjo Coat / Blazer - Navy Blue,,,No reviews,0.00,,Available,"KSh9,000.00"
Elsie Glamour Zuri Sweater Top - Teal,,,No reviews,0.00,,Available,"KSh3,950.00"
Elsie Glamour Hazel Unisex Hoodie - Cyan,"KSh2,700.00",5,No reviews,0.00,Sale,Available,"KSh2,700.00"
JMC Tulle Sleeved Kimono - Black,,,No reviews,0.00,,Available,"KSh3,500.00"
Elsie Glamour Hazel Unisex Hoodie - Dark Brown,,,No reviews,0.00,,Available,"KSh2,700.00"
Zoe Qu'an Tribal Dia Kimono - Multicolored,,,No reviews,0.00,,Available,"KSh12,500.00"
JMC Knit Sweater - Royal Blue,,,No reviews,0.00,,Available,"KSh3,500.00"
JMC Knit Sweater - Sky Blue,,,No reviews,0.00,,Available,"KSh3,500.00"
Phase Brands Executive waterproof Rain Jacket - Black,,,No reviews,0.00,,Available,"KSh3,300.00"
Simbaress Fem Ankara Midi Cape - Peach / Multicolor,,,No reviews,0.00,,Available,"KSh6,490.00"
Simbaress Fem Ankara Midi Cape – Blue / Green,,,No reviews,0.00,,Available,"KSh6,490.00"
Nursing Mama Quinn Cross lift Sweater - Black,,,No reviews,0.00,,Sold out,"KSh4,300.00"
Simbaress Kitenge Mix Blazer - Black,,,No reviews,0.00,,Available,"KSh4,990.00"
Elsie Glamour Alma Double Side Poncho - Jungle Green / Off White,,,No reviews,0.00,,Available,"KSh4,500.00"
Elsie Glamour Alma Double Sided Poncho - Purple / Pink,,,No reviews,0.00,,Available,"KSh4,500.00"
Elsie Glamour Zuri Sweater Top - Rust Brown,,,No reviews,0.00,,Available,"KSh3,950.00"
Elsie Glamour Zuri Sweater Top - Black,,,No reviews,0.00,,Available,"KSh3,950.00"
Elsie Glamour Zuri Sweater Top - Mustard,,,No reviews,0.00,,Available,"KSh3,950.00"
Elsie Glamour Johari Kimono - Orange,"KSh4,500.00",20,No reviews,0.00,Sale,Available,"KSh4,500.00"
Elsie Glamour Zuri Sweater Top - Red,,,No reviews,0.00,,Available,"KSh3,950.00"
Izulu Oromo Geo 2 Kimono - Purple,,,No reviews,0.00,,Available,"KSh6,300.00"
