description,original_price,discount,reviews,ratings,sale,soldout,product_price
Enasha Cat-eye Sunglasses - Clear Blue,"KSh1,800.00",33,No reviews,0.00,Sale,Available,"KSh1,800.00"
Waridi Eyewear Iris Sunglasses - Matte Brown,,,No reviews,0.00,,Available,"KSh6,000.00"
Kijivu Creatives Dangle Earrings - Grey,,,No reviews,0.00,,Available,"KSh1,119.00"
Kijivu Creatives Marble Bracelet - Grey / Brown,,,No reviews,0.00,,Available,"KSh1,599.00"
Kijivu Creatives Turquoise Ring - Blue,,,No reviews,0.00,,Available,"KSh1,499.00"
Kijivu Creatives Aluminium Ring - Grey,,,No reviews,0.00,,Available,"KSh1,499.00"
Kijivu Creatives Mask Ring - Cream / Black Print,,,No reviews,0.00,,Available,"KSh1,499.00"
Kijivu Creatives Zebra Print Ring - White / Brown,,,No reviews,0.00,,Available,"KSh1,499.00"
Kijivu Creatives Mask Bangle - White / Brown,,,No reviews,0.00,,Available,"KSh1,799.00"
Kijivu Creatives Shield Bangle - Orange / Green,,,No reviews,0.00,,Available,"KSh1,999.00"
Kijivu Creatives Worldmap Ring - Brass,,,No reviews,0.00,,Available,"KSh1,499.00"
Kijivu Creatives Cowrie Shell Bangle - Brass,,,No reviews,0.00,,Available,"KSh1,799.00"
Kijivu Creatives Glass Bangle - Green,,,No reviews,0.00,,Available,"KSh1,999.00"
Kijivu Creatives Dangle Earrings - White,,,No reviews,0.00,,Available,"KSh1,119.00"
Kijivu Creatives Dangle Earrings - Cream,,,No reviews,0.00,,Available,"KSh1,119.00"
Kijivu Creatives Statement Necklace - Brown,,,No reviews,0.00,,Available,"KSh2,999.00"
Kijivu Creatives Dangle Earrings - Brown,,,No reviews,0.00,,Available,"KSh1,119.00"
Eden Leather Acacia Cross Body - Mocca,,,No reviews,0.00,,Available,"KSh5,500.00"
Silver & Gold Hypoallergenic Dancing Cluster Earrings - Gold,"KSh3,150.00",21,No reviews,0.00,Sale,Available,"KSh3,150.00"
Silver & Gold Hypoallergenic Single Strip Detailed Loop Earrings - Gold,"KSh3,200.00",22,No reviews,0.00,Sale,Available,"KSh3,200.00"
Silver & Gold Hypoallergenic Detailed Crest Jacket Earrings - Gold,"KSh2,350.00",11,No reviews,0.00,Sale,Available,"KSh2,350.00"
Silver & Gold Hypoallergenic Diamond Heart Dangle Earrings - Gold,"KSh2,400.00",13,No reviews,0.00,Sale,Available,"KSh2,400.00"
Silver & Gold Hypoallergenic Diamond Crested Jacket Earrings - Gold,"KSh2,350.00",11,No reviews,0.00,Sale,Available,"KSh2,350.00"
Silver & Gold Hypoallergenic Mini Smooth Surface Loop Earrings - Gold,"KSh2,300.00",9,No reviews,0.00,Sale,Available,"KSh2,300.00"
Silver & Gold Hypoallergenic Single Detailed Loop Earrings - Gold,"KSh2,300.00",9,No reviews,0.00,,Sold out,"KSh2,300.00"
Silver & Gold Hypoallergenic Detailed Round Loop Earrings - Gold,"KSh2,450.00",14,No reviews,0.00,Sale,Available,"KSh2,450.00"
Silver & Gold Hypoallergenic Double Light Twist Loop Earrings - Gold,"KSh2,450.00",14,No reviews,0.00,Sale,Available,"KSh2,450.00"
Silver & Gold Hypoallergenic Outer Detailed Double Bind Loop Earrings - Gold,"KSh2,300.00",9,No reviews,0.00,Sale,Available,"KSh2,300.00"
Silver & Gold Hypoallergenic Wide Loop Earrings - Gold,"KSh2,300.00",9,No reviews,0.00,Sale,Available,"KSh2,300.00"
Waridi Eyewear Dahlia Tortoise Sunglasses - Brown,,,No reviews,0.00,,Available,"KSh6,000.00"
Ranks leather Back Pack - Black,,,No reviews,0.00,,Available,"KSh2,100.00"
Zanna Leathers Zawadi Handbag - Black,,,No reviews,0.00,,Available,"KSh8,000.00"
Zanna Leathers Sifa Mini - Black Buffed,,,No reviews,0.00,,Available,"KSh8,000.00"
Zanna Leathers Zuri Tote - Blue,,,No reviews,0.00,,Available,"KSh13,000.00"
