description,original_price,discount,reviews,ratings,sale,soldout,product_price
Safari Pencil Skirt - Bone,,,No reviews,0.00,,Available,"KSh2,950.00"
Hessed Maxi Wide Skirt - Black,"KSh2,500.00",40,1 review,3.00,Sale,Available,"KSh2,500.00"
Vivo Imara Pencil Skirt  - Mustard / Black Abstract Print,,,1 review,3.00,,Available,"KSh2,750.00"
Vivo Upe Mini Pencil Skirt  - White,"KSh2,250.00",30,No reviews,0.00,Sale,Available,"KSh2,250.00"
Vivo Basic Straight Skirt - Dark Green,,,No reviews,0.00,,Available,"KSh2,950.00"
Safari Button Up Midi Skirt - Black,"KSh3,250.00",30,4 reviews,5.00,Sale,Available,"KSh3,250.00"
Vivo Imara Pencil Skirt  - Rust,"KSh2,750.00",10,2 reviews,5.00,,Sold out,"KSh2,750.00"
Vivo Upe Skater Skirt - White,,,1 review,5.00,,Available,"KSh3,550.00"
Vivo Basic Pencil Skirt - Grey,,,1 review,5.00,,Available,"KSh2,950.00"
Nika Bonica Cosmos Maxi Skirt - Rust,,,3 reviews,4.67,,Available,"KSh3,250.00"
Pure Buxom Ruched Irregular Skirt - Champagne,"KSh5,000.00",10,No reviews,0.00,Sale,Available,"KSh5,000.00"
Signature The Brand Zip Back Split Thigh Snakeskin Skirt - Brown,"KSh2,750.00",20,No reviews,0.00,Sale,Available,"KSh2,750.00"
Vivo Hema Pencil Skirt - Black,,,No reviews,0.00,,Available,"KSh2,950.00"
Vivo Upe Skater Skirt - Black,,,No reviews,0.00,,Available,"KSh3,550.00"
Vivo Waridi Pencil Skirt - Green,,,1 review,5.00,,Available,"KSh2,950.00"
Hessed Maxi Wide Skirt - Grey,"KSh2,500.00",40,No reviews,0.00,Sale,Available,"KSh2,500.00"
Pure Buxom Ruched Irregular Skirt - Chocolate,"KSh5,000.00",10,No reviews,0.00,Sale,Available,"KSh5,000.00"
Vivo Waridi Pencil Skirt - Yellow,"KSh2,950.00",30,No reviews,0.00,Sale,Available,"KSh2,950.00"
Hessed Maxi Long Skirt - Blue,"KSh2,000.00",43,No reviews,0.00,Sale,Available,"KSh2,000.00"
Vivo Fasi Panel Pencil Skirt - Pink,,,No reviews,0.00,,Available,"KSh2,950.00"
