description,original_price,discount,reviews,ratings,sale,soldout,product_price
Pauline Cosmetics Mystique Lipstick,,,No reviews,0.00,,Available,KSh950.00
Pauline Cosmetics Glama Mama Lipstick,,,No reviews,0.00,,Available,"KSh1,800.00"
Elangi Beauty Ltd Kuhle Lipstick - Bright Red,,,1 review,5.00,,Available,"KSh3,000.00"
Pauline Cosmetics SENEGAL Liquid Matte Lipstick,,,No reviews,0.00,,Available,"KSh1,500.00"
Elangi Beauty Ltd Savage Lip Gloss - Lilac,,,No reviews,0.00,,Available,"KSh2,000.00"
Elangi Beauty Ltd Classic Nude Lip Gloss - Nude,,,No reviews,0.00,,Available,"KSh2,000.00"
Elangi Beauty Ltd Ntle Lipstick - Fuchsia,,,No reviews,0.00,,Available,"KSh3,000.00"
Elangi Beauty Ltd Busu Lip Gloss - Peach,,,No reviews,0.00,,Available,"KSh2,000.00"
Elangi Beauty Ltd Iza Lipstick - Burgundy,,,1 review,5.00,,Available,"KSh3,000.00"
Elangi Beauty Ltd Maridadi Lipstick - Scarlet Red,,,No reviews,0.00,,Available,"KSh3,000.00"
Elangi Beauty Ltd Siri Tamu Lip Gloss - Soft Pink,,,1 review,5.00,,Available,"KSh2,000.00"
Elangi Beauty Ltd Konjo Palette Eyeshadow - 15 Color Eyeshadow,,,No reviews,0.00,,Available,"KSh3,500.00"
Kipusa Glam Beauty Lipstick,,,No reviews,0.00,,Available,"KSh2,820.00"
Pauline Cosmetics ACCRA Liquid Matte Lipstick,,,No reviews,0.00,,Available,"KSh1,500.00"
Pauline Cosmetics ADDIS Liquid Matte Lipstick,,,No reviews,0.00,,Available,"KSh1,500.00"
