description,original_price,discount,reviews,ratings,sale,soldout,product_price
Zetu Basic Long Sleeve Bodysuit - Black,,,18 reviews,4.33,,Available,"KSh2,100.00"
Zetu Basic 3/4 Sleeve Bodysuit - Black,,,8 reviews,5.00,,Available,"KSh1,500.00"
Zetu Basic Sleeveless Bodysuit - Black,,,3 reviews,4.67,,Available,"KSh1,100.00"
Zetu Basic Tank Top - Black,,,5 reviews,4.40,,Available,KSh900.00
Lamazi Collections Long Sleeved Top - Black,"KSh1,500.00",40,1 review,5.00,Sale,Available,"KSh1,500.00"
Lamazi Collections Long Sleeved Top - White,"KSh1,500.00",40,No reviews,0.00,Sale,Available,"KSh1,500.00"
Merli Africa Lantern Sleeve Top - Nude,"KSh4,000.00",28,1 review,3.00,Sale,Available,"KSh4,000.00"
Lamazi Collections Loose Top - Navy Blue,"KSh1,900.00",53,2 reviews,3.00,Sale,Available,"KSh1,900.00"
Lamazi Collections Long Sleeved Stripped - Black,"KSh1,500.00",40,No reviews,0.00,Sale,Available,"KSh1,500.00"
Zoya Chill Spaghetti Strap Tank Top - Dark Green,KSh950.00,50,No reviews,0.00,Sale,Available,KSh950.00
Zoya Basic Tank Top - Black,,,1 review,5.00,,Available,"KSh1,250.00"
Lamazi Collections Long Sleeved - Yellow,"KSh1,500.00",40,1 review,5.00,Sale,Available,"KSh1,500.00"
King's Collection Unisex Round Neck T-shirt - Maroon,KSh850.00,15,No reviews,0.00,Sale,Available,KSh850.00
Safari Huru Cap Sleeved Top - Red,"KSh3,250.00",85,2 reviews,4.50,Sale,Available,"KSh3,250.00"
Lamazi Collections Top - Blue,"KSh1,900.00",53,No reviews,0.00,Sale,Available,"KSh1,900.00"
Zoya Chill Spaghetti Strap Tank Top - Blue,KSh950.00,50,3 reviews,5.00,Sale,Available,KSh950.00
Izulu Rokka Top - White,"KSh4,100.00",32,No reviews,0.00,Sale,Available,"KSh4,100.00"
Zoya Basic Tank Top - Burgundy,,,1 review,1.00,,Available,"KSh1,250.00"
Merli Africa Zuhura Top - Maroon,"KSh4,650.00",35,No reviews,0.00,Sale,Available,"KSh4,650.00"
Zoya Cold Shoulder Top - Blue,,,2 reviews,4.00,,Available,KSh900.00
Vivo Basic Long Sleeved Bodysuit - Navy Blue,,,No reviews,0.00,,Available,"KSh2,250.00"
Vivo Basic 3/4 Sleeved Double Layered Bodysuit - Black,,,No reviews,0.00,,Available,"KSh2,750.00"
Vivo Wastani Shirred Cuff Asymmetrical Top - Dark Blue,,,No reviews,0.00,,Sold out,"KSh2,750.00"
Zoya Basic Sleeveless Bodysuit - Red,"KSh1,950.00",10,No reviews,0.00,Sale,Available,"KSh1,950.00"
Vivo Ruwa Wrap Top - Navy Blue / Red Print,"KSh2,950.00",50,1 review,5.00,,Sold out,"KSh2,950.00"
Vivo Thando 3/4 Flounce Sleeve Top - Orange,"KSh2,950.00",50,No reviews,0.00,,Sold out,"KSh2,950.00"
King's Collection Unisex Round Neck T-shirt - Light Army Green,KSh850.00,15,No reviews,0.00,Sale,Available,KSh850.00
King's Collection Unisex Round Neck T-shirt - Dark Army Green,KSh850.00,15,1 review,5.00,Sale,Available,KSh850.00
King's Collection Unisex Round Neck T-shirt - Indigo Purple,KSh850.00,15,1 review,5.00,,Sold out,KSh850.00
Zoya Cold Shoulder Top - White,,,No reviews,0.00,,Available,KSh900.00
Zoya Party Long Sleeve Bodysuit - Black,"KSh1,750.00",10,No reviews,0.00,Sale,Available,"KSh1,750.00"
